search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver
2,11,0.32402975432748315,0.14675925528367223,0.6746162787655117,0.2911831419770465,"{'alpha': np.float64(3.232696837843423e-05), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.005608179718770947), 'max_iter': 1159, 'solver': 'adam'}",3.232696837843423e-05,"(1024, 512, 128)",adaptive,0.005608179718770947,1159,adam
2,12,0.27931181115414294,0.09281417129449708,0.6825995550358941,0.28837283957543425,"{'alpha': np.float64(0.0018342666318374799), 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0013198822206800813), 'max_iter': 933, 'solver': 'sgd'}",0.0018342666318374799,"(512,)",constant,0.0013198822206800813,933,sgd
2,13,0.43193846099124344,0.0377186221085538,0.9434000415444599,0.021656597889591418,"{'alpha': np.float64(0.0001222634231855255), 'hidden_layer_sizes': (1024, 256, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.02456627454440936), 'max_iter': 1090, 'solver': 'sgd'}",0.0001222634231855255,"(1024, 256, 128)",adaptive,0.02456627454440936,1090,sgd
2,14,0.4497909494014757,0.060379735101012716,0.9397322288329313,0.017958629335894073,"{'alpha': np.float64(0.0007002979732559524), 'hidden_layer_sizes': (1024, 512), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0002138849321664625), 'max_iter': 664, 'solver': 'adam'}",0.0007002979732559524,"(1024, 512)",constant,0.0002138849321664625,664,adam
2,15,0.22312973421922105,0.07873295805384779,0.5209200959880154,0.27477306115799277,"{'alpha': np.float64(1.895669801491163e-05), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.000715931002645685), 'max_iter': 956, 'solver': 'sgd'}",1.895669801491163e-05,"(1024, 512, 128)",constant,0.000715931002645685,956,sgd
2,16,0.3968990029133886,0.023141249315464706,0.9002440249237283,0.06193298036150745,"{'alpha': np.float64(6.652386595345284e-05), 'hidden_layer_sizes': (1024,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.004528587191354623), 'max_iter': 711, 'solver': 'adam'}",6.652386595345284e-05,"(1024,)",constant,0.004528587191354623,711,adam
2,17,0.2886479367588242,0.04304261406635271,0.670388601988355,0.18272710362876765,"{'alpha': np.float64(1.4665960143420534e-05), 'hidden_layer_sizes': (1024,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0007801368906317444), 'max_iter': 617, 'solver': 'sgd'}",1.4665960143420534e-05,"(1024,)",constant,0.0007801368906317444,617,sgd
2,18,0.45133454801306455,0.03882940882219403,0.9391843984290691,0.018187855649713452,"{'alpha': np.float64(0.00694932184947462), 'hidden_layer_sizes': (1024, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.007155710039509253), 'max_iter': 1162, 'solver': 'sgd'}",0.00694932184947462,"(1024, 256)",constant,0.007155710039509253,1162,sgd
2,19,0.1977319267313733,0.0867683855687495,0.41601993904212814,0.20968273310138286,"{'alpha': np.float64(0.0018354981671930095), 'hidden_layer_sizes': (512, 512), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00029140338075862035), 'max_iter': 649, 'solver': 'sgd'}",0.0018354981671930095,"(512, 512)",adaptive,0.00029140338075862035,649,sgd
3,0,0.4672852596999684,0.026961347800257635,1.0,0.0,"{'alpha': np.float64(0.00024000641667068715), 'hidden_layer_sizes': (1024, 384, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00012949346283595544), 'max_iter': 636, 'solver': 'lbfgs'}",0.00024000641667068715,"(1024, 384, 128)",adaptive,0.00012949346283595544,636,lbfgs
3,1,0.4628397454638803,0.03347658671518259,0.9229373972042703,0.04463446759356901,"{'alpha': np.float64(5.48953738982731e-05), 'hidden_layer_sizes': (2048, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0001798636096723873), 'max_iter': 738, 'solver': 'adam'}",5.48953738982731e-05,"(2048, 256)",adaptive,0.0001798636096723873,738,adam
3,2,0.27220323228036963,0.07274325576124108,0.6247610804334544,0.24901300114008515,"{'alpha': np.float64(7.960556475257188e-05), 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0006904351189530907), 'max_iter': 1040, 'solver': 'sgd'}",7.960556475257188e-05,"(512,)",constant,0.0006904351189530907,1040,sgd
3,3,0.45451827208866497,0.06340008460061941,0.9479420507061451,0.005387649324028924,"{'alpha': np.float64(0.008761802791854569), 'hidden_layer_sizes': (1024, 512), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.010667935574617746), 'max_iter': 569, 'solver': 'sgd'}",0.008761802791854569,"(1024, 512)",adaptive,0.010667935574617746,569,sgd
3,4,0.519488284842888,0.015979319762017177,1.0,0.0,"{'alpha': np.float64(0.004381639438767804), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.009340299634645584), 'max_iter': 546, 'solver': 'lbfgs'}",0.004381639438767804,"(1024, 512, 128)",constant,0.009340299634645584,546,lbfgs
3,5,0.4488882392699356,0.08758006308155043,0.9092122798770559,0.07609924716494541,"{'alpha': np.float64(0.0035257163486837276), 'hidden_layer_sizes': (1024, 384, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0710146072051077), 'max_iter': 1172, 'solver': 'sgd'}",0.0035257163486837276,"(1024, 384, 128)",constant,0.0710146072051077,1172,sgd
3,6,0.1651097631514915,0.042091429306297584,0.26419033470420994,0.1322288798827365,"{'alpha': np.float64(5.371827839712888e-05), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0001919428285435973), 'max_iter': 512, 'solver': 'sgd'}",5.371827839712888e-05,"(1024, 512, 128)",adaptive,0.0001919428285435973,512,sgd
3,7,0.4758024189134029,0.048405237779587246,0.9488515293379773,0.005650627356759151,"{'alpha': np.float64(0.004560985798753601), 'hidden_layer_sizes': (768, 256, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.027930440825460413), 'max_iter': 1074, 'solver': 'sgd'}",0.004560985798753601,"(768, 256, 128)",constant,0.027930440825460413,1074,sgd
3,8,0.42795915377316585,0.06037882597149599,0.9416429126751481,0.011718116747038557,"{'alpha': np.float64(1.881894209579587e-05), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.005114409034305111), 'max_iter': 1037, 'solver': 'sgd'}",1.881894209579587e-05,"(768, 256)",constant,0.005114409034305111,1037,sgd
3,9,0.5153966403594584,0.06124948385356031,0.9497951129646245,0.004234286120581949,"{'alpha': np.float64(0.004105362040630343), 'hidden_layer_sizes': (512, 512), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.015731485673021926), 'max_iter': 810, 'solver': 'sgd'}",0.004105362040630343,"(512, 512)",adaptive,0.015731485673021926,810,sgd
3,10,0.049929250157848756,0.02848334061579236,0.06009053165020373,0.033614488596560924,"{'alpha': np.float64(5.781837305699843e-05), 'hidden_layer_sizes': (1024, 512), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.049600838283113), 'max_iter': 833, 'solver': 'adam'}",5.781837305699843e-05,"(1024, 512)",constant,0.049600838283113,833,adam
3,11,0.4704954369018308,0.03228625344987988,1.0,0.0,"{'alpha': np.float64(0.00012931389808527985), 'hidden_layer_sizes': (1024, 256, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.020153318922086598), 'max_iter': 908, 'solver': 'lbfgs'}",0.00012931389808527985,"(1024, 256, 128)",constant,0.020153318922086598,908,lbfgs
3,12,0.2770800826919551,0.09559981646416216,0.6875396828425917,0.19310712082427048,"{'alpha': np.float64(0.003995343961749462), 'hidden_layer_sizes': (1024, 512), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0007838847408805713), 'max_iter': 1046, 'solver': 'sgd'}",0.003995343961749462,"(1024, 512)",constant,0.0007838847408805713,1046,sgd
3,13,0.05002319072226012,0.022119008959933562,0.04404856706701221,0.014941021024294995,"{'alpha': np.float64(1.3524732586641276e-05), 'hidden_layer_sizes': (1024, 256, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.027056063411997334), 'max_iter': 1077, 'solver': 'adam'}",1.3524732586641276e-05,"(1024, 256, 128)",constant,0.027056063411997334,1077,adam
3,14,0.4303251522223376,0.03660183273545143,0.9375652820171012,0.008552375886256286,"{'alpha': np.float64(1.0698874259111387e-05), 'hidden_layer_sizes': (1024,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0005046282863313552), 'max_iter': 1110, 'solver': 'adam'}",1.0698874259111387e-05,"(1024,)",adaptive,0.0005046282863313552,1110,adam
